id,Company,About company,Company outlook,Company size (number of employees),Company type,Compensation band,Contact details,Content,How to apply,Last edited time,Market,Priority,Scope of AI,Status,Tips,Website
11,Murf AI,"AI text-to-speech/voice generation platform, founded Oct 2020 by IIT-Kharagpur grads Ankur Edkie (CEO), Sneha Roy (COO), Divyanshu Pandey. ~$21.5M raised (Elevation Capital, Matrix/Z47). 6M+ users across 195+ countries, Fortune 500 customers (Omnicom, Vertiv, Baptist Health). Bangalore engineering base, Salt Lake City HQ.",Positive,small,Startup,70LPA,Ankur Edkie (Co-founder & CEO) — LinkedIn search recommended. Sneha Roy (Co-founder & COO) also reachable. No public X handle confirmed active.,"Hi Ankur.

I've been following Murf AI and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
+91 89712 58254",DM Founder,"April 28, 2026 9:25 AM",Indian,Medium,"Core product is AI — 200+ AI voices, 20+ languages, voice cloning, the new Falcon low-latency TTS model, dubbing/localization.",Ready,"Small team (~21-43 employees per LinkedIn), well-funded, fast-growing — good 0-to-1 PM target. Reference Murf Falcon (new low-latency TTS model) in outreach as a recent, specific hook.",https://murf.ai
12,Uniphore,"India-founded Business AI Cloud platform for enterprise agentic workflows. $961M raised, $2.5B valuation. Series F backed by NVIDIA, AMD, Snowflake, and Databricks. Palo Alto HQ, 2000+ global enterprise clients.",Very positive,large,Startup,1cr+,Umesh Sachdev (CEO) — http://linkedin.com/in/umeshsachdev | X: @umeshsachdev | Apply via http://uniphore.com/careers,"Dear Uniphore,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Uniphore is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"June 19, 2026 8:35 AM",Indian,High,"Entire platform is AI — Business AI Cloud with agentic layers, conversation intelligence, multi-agent orchestration, and enterprise workflow automation.",Ready,"Active careers page at http://uniphore.com/careers. Apply for Director/VP of Product roles in their Business AI Cloud platform. At this scale ($961M raised, NVIDIA/AMD/Snowflake investors) they have a formal PM org. CEO Umesh Sachdev is on LinkedIn but product hiring goes through their talent team. They’ve made 4 acquisitions recently (Orby AI, ActionIQ, Infoworks, Autonom8) — a strong pitch is around integrating these product lines into a coherent platform. Also check LinkedIn for Uniphore India PM listings.",https://www.uniphore.com
13,http://Gnani.ai,"Bengaluru-based voice and conversational AI for enterprise CX. Founded 2016, $7.7M raised, 200 employees. Powers 10M+ calls per day with Nvidia partnership. Serves BFSI, telecom, healthcare.",Positive,medium,Startup,60LPA,Ganesh Gopalan (CEO) — mailto:ganesh.gopalan@gnani.ai | X: @ganeshgo | http://linkedin.com/in/ganesh-gopalan,"Subject: Gnani + me

Hi Ganesh,

I've been following Gnani and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
Tanishk
+91 89712 58254
http://tanishksharma.com",Website,"June 21, 2026 5:57 PM",Indian,High,"AI is core — speech-to-speech LLMs, voice biometrics, multilingual voice automation, agentic call center bots, and real-time agent assist.",Wrong email/DMs not open,Active job listings at http://careers.gnani.ai and http://gnani.ai/job-listing — check these first for any product roles. DM Ganesh Gopalan (CEO/co-founder) on LinkedIn alongside applying via the careers page. They are actively expanding into agentic AI and recently partnered with Nvidia for their 10M calls/day platform — reference this. Bengaluru HQ makes an in-person meeting a realistic ask after initial DM.,https://www.gnani.ai
14,http://Observe.AI,"AI platform for contact centers: conversation intelligence, agent copilots, VoiceAI agents. $214M raised (Series C 2022 led by SoftBank). India office in Bangalore. 350+ enterprise deployments.",Very positive,medium,Startup,1cr+,Swapnil Jain (CEO) — X: @swapnil | mailto:swapnil@observe.ai (pattern) | http://linkedin.com/in/voiceaiagent,"Subject: http://Observe.AI + me

Hi Swapnil,

I've been following http://Observe.AI and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
Tanishk
+91 89712 58254
http://tanishksharma.com",Email,"June 20, 2026 12:22 PM",International,High,"AI is the product — conversation intelligence, AI quality assurance, real-time agent assist, and VoiceAI agents that automate customer interactions end-to-end.",Reached out,"Apply via http://observe.ai/company/careers. US-HQ with India-founded team — some product roles may be US-based, so filter carefully. They acquired http://Dubdub.ai in March 2025 and launched VoiceAI Agents, signalling active product expansion. A referral from someone in their India engineering team (Bengaluru office) is the best internal path. Their contact center AI + sales coaching angle aligns directly with your Revenoid/Evabot sales intelligence experience — lead with that.",https://www.observe.ai
15,Fractal Analytics,"Enterprise AI and analytics firm for Fortune 500 clients. Founded 2000, 5,500 employees, $325M raised. Planning India IPO at $3B valuation. Mumbai and NYC HQ.",Very positive,large,Giant/Unicorn,1cr+,"Formal hiring via http://fractal.wd1.myworkdayjobs.com/Careers — large Workday ATS, search Product Manager/AI roles. Mumbai/Bengaluru/Gurugram offices.","Dear Fractal Analytics,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
Your applied AI and analytics work for global enterprises is exactly the kind of high-craft product problem I want next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",Indian,Medium,"AI applied across analytics, customer intelligence, and operational AI for global enterprises. Building AI platforms for specific verticals including retail, BFSI, and CPG.",Ready,"5500+ employees with a formal Workday ATS at http://fractal.wd1.myworkdayjobs.com/Careers — all applications must go through posted openings per their own policy. Target Head of Product or VP Product roles specifically within their AI product businesses (Crux Intelligence, http://Asper.ai, http://Eugenie.ai, http://Senseforth.ai). An internal referral is the highest-leverage move. Pre-IPO stage means equity could be meaningful. Also search LinkedIn for Fractal product leadership roles in Bengaluru or Mumbai.",https://www.fractal.ai
16,Wysa,"Bengaluru-based AI mental health/wellness platform, founded 2016 by Jo Aggarwal (CEO) and Ramakant Vempati. $30.5M raised, 175 employees, 7M+ users across 105 countries. Acquired April Health (US) in early 2026 to expand US presence. NHS and Singapore Ministry of Health are clients.",Positive,medium,Startup,70LPA,"Jo Aggarwal (Co-founder & CEO) — LinkedIn search recommended, active in press/podcasts. Ramakant Vempati (Co-founder & President) also reachable on LinkedIn.","Hi Jo.

I've been following Wysa and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
+91 89712 58254",DM Founder,"April 28, 2026 9:25 AM",Indian,Medium,"AI-first mental health support — conversational CBT chatbot, clinically validated, blended with human coaches/therapists. 120+ NLU models.",Ready,Recent hook: April Health US acquisition (early 2026) signals real US market push — good opening line. Funding round in Feb 2026 (grant) shows continued momentum.,https://www.wysa.io
17,http://Arya.ai,"Mumbai-founded deep learning/AI platform for BFSI (banks, insurers), founded 2013 by Vinay Kumar Sankarapu (IIT Bombay). Acquired by Aurionpro Solutions (listed Indian BFSI software company), giving it distribution reach without independent fundraising pressure. Spun out AryaXAI / Lexsi Labs for AI explainability and governance.",Positive,small,Startup,60LPA,Vinay Kumar Sankarapu (Founder & CEO) — mailto:vinay@arya.ai (confirmed) | LinkedIn: http://linkedin.com/in/vinaykumar123,"Hi Vinay.

I've been following http://Arya.ai and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
+91 89712 58254",Email,"April 28, 2026 9:25 AM",Indian,Medium,"AI cloud for BFSI — deep learning APIs, AI governance/explainability (AryaXAI), claims/underwriting/fraud AI for financial institutions.",Ready,"Confirmed email is rare here — use it. Aurionpro acquisition is the freshest hook: more distribution and stability, less scaling pressure, good moment for a 0-to-1 PM pitch.",https://www.arya.ai
18,http://Vue.ai (Mad Street Den),"Computer vision/AI orchestration platform for retail, under holding company Mad Street Den. Founded 2016 by Ashwini Asokan (CEO) and Anand Chandrasekaran (CTO). $27.5M raised. Acquired by M2P Fintech in March 2025. ~35-138 employees depending on entity.",Positive,small,Startup,60LPA,"Ashwini Asokan (Founder & CEO) — LinkedIn: http://linkedin.com/in/ashwiniasokan (very active, posts often). mailto:press@vue.ai for general contact.","Hi Ashwini.

I've been following http://Vue.ai and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
+91 89712 58254",DM Founder,"April 28, 2026 9:25 AM",Indian,Medium,"AI orchestration platform — computer vision, data prep, content moderation, personalization, document AI (IDP) for Fortune 500 retail/BFSI clients.",Ready,"Recently acquired by M2P Fintech (Mar 2025) — fresh distribution and stability hook. Ashwini posts frequently on LinkedIn, good DM entry point.",https://www.vue.ai
19,Sigmoid,"Bengaluru-founded AI/data engineering consultancy for Fortune 500s, founded 2013 by Rahul Singh, Lokesh Anand (CEO), Mayur Rustagi (CTO). $19.3M raised (Peak XV). ~250-580 employees. Builds AI agents for supply chain, marketing, risk, ops decision workflows.",Positive,medium,Startup,60LPA,"Lokesh Anand (Co-founder & CEO) — LinkedIn search recommended. Mayur Rustagi (Co-founder & CTO) — LinkedIn: http://linkedin.com/in/rustagi (active poster, San Francisco-based).","Hi Lokesh.

I've been following Sigmoid and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
+91 89712 58254",DM Founder,"April 28, 2026 9:25 AM",Indian,Medium,"AI/ML and data engineering consulting — GenAI solutions, AI agents for supply chain/marketing/risk/ops, BI modernization for Fortune 500 CPG/retail/finance clients.",Ready,More a services/consultancy than a product startup — product-leadership roles may be thinner here than at pure-play AI startups. Mayur is the more LinkedIn-active co-founder; lead with him if Lokesh doesn't respond.,https://www.sigmoid.com
20,http://Jiffy.ai,"Enterprise intelligent process automation and document AI platform. US/India-based, $71.4M raised (Series B). 110+ employees. Helps enterprises automate workflows, extract document data, and build internal apps with AI.",Negative,medium,Startup,70LPA,mailto:babu@jiffy.ai (likely) | LinkedIn: http://linkedin.com/in/babusivadasan,,DM Founder,"April 28, 2026 9:25 AM",Indian,Low,"AI-powered document processing, ML-based workflow automation, app development, and data extraction at enterprise scale.",Ready,"CEO Babu Sivadasan is reachable on LinkedIn. Small-to-medium team (110 employees as of 2024, down 17% YoY) means a senior PM is still a founder-level decision. Email mailto:babu@jiffy.ai (likely). US-based HQ (Milpitas) with India team — confirm if the role would be India-based before going deep. CAUTION: Headcount has been declining and no new funding since 2022 Series B. Do due diligence on runway before accepting any offer.",https://www.jiffy.ai
21,Mihup,"Kolkata-based AI platform for contact center intelligence. 75-85 employees, $10.8M raised (Series A via Accel). Real-time agent assist, interaction analytics, and automated virtual agents.",Positive,small,Startup,50LPA,mailto:tapan@mihup.com (likely) | LinkedIn: http://linkedin.com/in/tapanbarman,,DM Founder,"April 28, 2026 9:25 AM",Indian,Low,"AI-first product — speech recognition, sentiment analysis, real-time agent coaching, and 100% call audit automation for contact centres.",,"Tapan Barman (CEO) is directly reachable on LinkedIn. Small team (75 employees) with Accel backing means this would be a highly influential senior hire — Tapan will be closely involved. Email mailto:tapan@mihup.com (likely). The team is Kolkata-based but operates remotely — Bengaluru location is fine. Check http://mihup.com for any open product roles. Comp may fall below ₹1Cr target, so clarify early in conversations.",https://www.mihup.com
